Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;1;;1;1;1;1;1;;690;0.97;267.23;180.82;268.09;181.17;0.53;0.47;0.38;0.62;;50
filler-1_corrected;;0;;1;0;1;1;1;;690;0.52;6946.76;2098.25;6950.57;2100.63;0.80;0.20;0.70;0.30;;50
filler-2;;1;;1;1;1;1;1;;157;0.90;288.19;182.61;295.13;184.45;0.45;0.55;0.31;0.69;;11
filler-2_corrected;;0;;1;0;1;1;1;;157;0.54;13295.47;2282.99;13333.60;2292.08;0.69;0.31;0.76;0.24;;11
japanese-translation;;0;;1;1;0;0;0;;22;1.00;54.12;60.99;54.67;64.53;0.00;1.00;0.00;1.00;;2
japanese-translation_corrected;;1;;1;1;1;1;1;;22;0.68;1809.55;124.66;1809.68;124.76;0.14;0.86;0.73;0.27;;2
20170206-VL-Japan-shelftask-cell4;;0;;1;1;1;1;0;;236;0.67;397.90;184.24;399.85;185.67;0.45;0.55;0.02;0.98;;17
20170206-VL-Japan-shelftask-cell4_corrected;;0;;1;0;1;1;1;;236;0.40;68040.98;6392.82;68317.68;6430.77;0.78;0.22;0.31;0.69;;17
20170206-VL-Japan-3d-cell4;;0;;1;1;1;1;0;;43;0.67;306.16;298.32;306.97;307.47;0.67;0.33;0.09;0.91;;7
20170206-VL-Japan-3d-cell4_corrected;;0;;1;0;1;1;0;;43;0.26;2448.49;2928.15;2481.84;2984.86;0.98;0.02;0.35;0.65;;7
