Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
prod_cell1;;1;;1;1;1;1;1;;404;0,91;309,62;1529,18;310,68;1573,53;0,17;0,83;0,44;0,56;;28
prod_cell1_corrected;;1;;1;1;1;1;1;;404;0,90;333,14;1528,16;333,32;1573,07;0,20;0,80;0,44;0,56;;28
task2_prod_cell1;;0;;1;1;0;0;0;;147;1,00;240,74;105,55;251,48;107,50;0,41;0,59;1,00;0,00;;9
task2_prod_cell1_corrected;;0;;1;1;0;0;0;;147;0,95;284,85;178,10;312,79;190,95;0,58;0,42;1,00;0,00;;9
Cell1_11_Light_Fit_vanilla;;0;;1;1;0;0;0;;56;1,00;277,39;255,16;312,40;256,42;0,21;0,79;1,00;0,00;;3
Cell1_11_Light_Fit_vanilla_corrected;;0;;1;0;1;1;0;;56;0,50;350,25;2378,35;376,13;2403,31;0,23;0,77;1,00;0,00;;3
Cell1_21_Light_Fit_Strawberry;;0;;1;1;0;0;0;;46;1,00;288,68;213,85;329,95;221,72;0,22;0,78;1,00;0,00;;3
Cell1_21_Light_Fit_Strawberry_corrected;;0;;1;0;1;1;0;;46;0,54;932,16;3748,96;975,45;3761,30;0,28;0,72;0,98;0,02;;3
Cell1_22_Yokids_CherryBerryBase;;0;;1;1;0;0;0;;15;1,00;59,48;218,37;62,54;244,51;0,40;0,60;1,00;0,00;;1
Cell1_22_Yokids_CherryBerryBase_corrected;;0;;1;1;0;0;0;;15;0,80;103,68;279,67;112,61;301,86;1,00;0,00;1,00;0,00;;1
Cell1_12_YoBaby_Banana_Mango;;0;;1;1;0;0;0;;15;1,00;109,20;195,27;109,28;203,15;0,53;0,47;1,00;0,00;;1
Cell1_12_YoBaby_Banana_Mango_corrected;;0;;1;0;0;0;0;;15;0,60;162,02;253,58;164,66;253,61;0,93;0,07;1,00;0,00;;1
peapodB;;0;;1;1;0;0;0;;171;1,00;238,21;323,55;239,26;336,34;0,59;0,41;1,00;0,00;;10
peapodB_corrected;;0;;1;0;1;1;1;;171;0,65;502,80;905,57;509,43;979,52;0,82;0,18;0,83;0,17;;10
TargetC;;0;;1;1;0;0;0;;82;1,00;244,38;145,60;246,29;152,48;0,52;0,48;1,00;0,00;;5
TargetC_corrected;;0;;1;0;0;0;0;;82;0,63;226,05;140,15;226,32;144,96;0,79;0,21;1,00;0,00;;5
