121;0.006;0.036;0.003;0.444;0.504;0.006;0.002;
205;0.228;0.152;0.021;0.107;0.414;0.016;0.061;
291;0.006;0.001;0.000;0.002;0.989;0.001;0.001;
378;0.002;0.000;0.000;0.001;0.996;0.001;0.000;
464;0.001;0.000;0.000;0.001;0.996;0.001;0.000;
549;0.001;0.000;0.000;0.001;0.995;0.003;0.000;
636;0.001;0.000;0.000;0.001;0.994;0.003;0.000;
743;0.001;0.000;0.000;0.002;0.992;0.004;0.000;
895;0.001;0.000;0.000;0.002;0.992;0.004;0.000;
983;0.001;0.001;0.001;0.006;0.983;0.007;0.001;
1115;0.001;0.003;0.000;0.014;0.976;0.005;0.001;
1203;0.002;0.007;0.001;0.029;0.952;0.008;0.001;
1333;0.002;0.013;0.001;0.060;0.912;0.009;0.001;
1421;0.207;0.183;0.025;0.296;0.200;0.014;0.075;
1526;0.047;0.022;0.005;0.039;0.865;0.005;0.016;
1616;0.001;0.000;0.000;0.003;0.994;0.001;0.000;
1703;0.001;0.000;0.000;0.001;0.995;0.002;0.000;
1807;0.001;0.000;0.000;0.002;0.995;0.002;0.000;
1895;0.001;0.000;0.000;0.002;0.993;0.003;0.000;
1985;0.002;0.000;0.000;0.002;0.991;0.004;0.000;
2075;0.001;0.000;0.000;0.003;0.989;0.005;0.000;
2248;0.001;0.001;0.001;0.005;0.986;0.007;0.000;
2334;0.002;0.001;0.000;0.010;0.981;0.005;0.000;
2422;0.002;0.002;0.000;0.018;0.971;0.005;0.001;
2511;0.003;0.007;0.001;0.035;0.947;0.006;0.001;
2601;0.001;0.003;0.000;0.016;0.977;0.003;0.000;
2691;0.001;0.010;0.001;0.044;0.941;0.003;0.001;
2794;0.003;0.019;0.002;0.079;0.891;0.004;0.002;
2880;0.005;0.048;0.003;0.271;0.666;0.004;0.003;
3013;0.002;0.023;0.001;0.367;0.602;0.002;0.001;
3104;0.313;0.133;0.016;0.104;0.399;0.011;0.024;
3192;0.019;0.014;0.001;0.053;0.911;0.001;0.001;
3281;0.007;0.003;0.000;0.013;0.976;0.001;0.000;
3370;0.002;0.000;0.000;0.001;0.996;0.000;0.000;
3459;0.002;0.000;0.000;0.002;0.994;0.001;0.000;
3547;0.003;0.000;0.000;0.002;0.994;0.001;0.000;
3637;0.001;0.000;0.000;0.002;0.994;0.002;0.000;
