53;0.512;0.016;0.140;0.153;0.010;0.086;0.084;
160;0.031;0.001;0.039;0.918;0.001;0.002;0.007;
218;0.255;0.025;0.145;0.251;0.019;0.082;0.222;
308;0.094;0.004;0.073;0.800;0.004;0.012;0.014;
374;0.015;0.001;0.020;0.960;0.001;0.001;0.003;
462;0.062;0.002;0.044;0.878;0.003;0.004;0.007;
531;0.275;0.015;0.203;0.338;0.019;0.045;0.105;
634;0.068;0.002;0.034;0.882;0.002;0.003;0.008;
687;0.120;0.004;0.082;0.723;0.006;0.009;0.055;
809;0.109;0.009;0.142;0.687;0.009;0.013;0.033;
871;0.057;0.003;0.105;0.796;0.004;0.005;0.029;
1003;0.078;0.007;0.129;0.729;0.008;0.008;0.042;
1082;0.208;0.006;0.080;0.678;0.004;0.007;0.017;
1181;0.059;0.001;0.013;0.920;0.003;0.001;0.002;
1251;0.076;0.004;0.107;0.780;0.006;0.006;0.021;
1345;0.082;0.004;0.113;0.781;0.004;0.003;0.013;
1420;0.037;0.001;0.047;0.897;0.005;0.004;0.010;
1507;0.244;0.009;0.158;0.529;0.011;0.014;0.033;
1557;0.014;0.000;0.018;0.961;0.002;0.001;0.003;
1647;0.108;0.004;0.091;0.770;0.005;0.006;0.016;
1698;0.174;0.006;0.103;0.679;0.006;0.008;0.024;
1786;0.021;0.001;0.032;0.939;0.001;0.002;0.005;
1840;0.058;0.002;0.049;0.879;0.003;0.003;0.007;
1994;0.080;0.001;0.035;0.870;0.005;0.003;0.007;
2051;0.225;0.005;0.097;0.629;0.010;0.012;0.022;
2145;0.088;0.003;0.077;0.813;0.003;0.004;0.012;
2221;0.057;0.001;0.038;0.888;0.003;0.003;0.010;
2313;0.422;0.017;0.151;0.256;0.013;0.034;0.106;
2371;0.026;0.002;0.028;0.934;0.001;0.005;0.004;
2461;0.250;0.022;0.199;0.333;0.022;0.048;0.126;
2512;0.263;0.015;0.138;0.484;0.014;0.034;0.053;
2599;0.102;0.006;0.032;0.807;0.005;0.033;0.016;
2651;0.149;0.003;0.043;0.781;0.003;0.007;0.014;
2739;0.087;0.004;0.018;0.864;0.007;0.014;0.006;
