2;0.626;0.062;0.240;0.005;0.003;0.023;0.041;
48;0.550;0.007;0.417;0.001;0.000;0.010;0.015;
140;0.297;0.006;0.639;0.004;0.000;0.029;0.024;
213;0.175;0.005;0.741;0.005;0.001;0.037;0.036;
275;0.273;0.021;0.477;0.109;0.009;0.046;0.065;
355;0.177;0.030;0.390;0.206;0.015;0.100;0.082;
422;0.187;0.028;0.545;0.108;0.013;0.059;0.062;
472;0.172;0.025;0.627;0.086;0.010;0.035;0.045;
555;0.168;0.025;0.652;0.086;0.010;0.025;0.035;
615;0.147;0.022;0.660;0.111;0.008;0.021;0.031;
668;0.143;0.022;0.567;0.195;0.009;0.022;0.041;
755;0.133;0.016;0.724;0.052;0.006;0.021;0.047;
815;0.130;0.015;0.746;0.052;0.006;0.020;0.031;
863;0.115;0.011;0.799;0.034;0.005;0.013;0.023;
971;0.164;0.022;0.672;0.075;0.010;0.027;0.031;
1033;0.156;0.021;0.675;0.076;0.009;0.027;0.035;
1080;0.153;0.025;0.532;0.196;0.011;0.034;0.050;
1173;0.174;0.029;0.623;0.099;0.012;0.030;0.034;
1235;0.156;0.026;0.626;0.111;0.010;0.041;0.030;
1282;0.080;0.011;0.816;0.029;0.003;0.028;0.032;
1368;0.096;0.013;0.733;0.045;0.004;0.057;0.052;
1434;0.129;0.021;0.681;0.060;0.006;0.077;0.026;
1484;0.124;0.017;0.669;0.057;0.005;0.081;0.046;
1575;0.141;0.022;0.609;0.082;0.008;0.102;0.037;
1657;0.134;0.024;0.596;0.123;0.008;0.086;0.029;
1704;0.048;0.010;0.725;0.047;0.002;0.133;0.035;
1791;0.065;0.010;0.715;0.030;0.002;0.151;0.027;
1852;0.045;0.015;0.668;0.053;0.002;0.192;0.025;
1899;0.067;0.013;0.784;0.032;0.002;0.077;0.024;
1981;0.086;0.019;0.616;0.033;0.003;0.208;0.036;
2037;0.089;0.022;0.573;0.053;0.004;0.222;0.037;
2079;0.077;0.024;0.557;0.059;0.004;0.253;0.027;
2162;0.058;0.018;0.644;0.022;0.002;0.236;0.021;
2220;0.060;0.018;0.650;0.026;0.002;0.220;0.024;
2277;0.055;0.013;0.611;0.030;0.002;0.248;0.041;
2356;0.087;0.016;0.634;0.052;0.004;0.173;0.033;
2415;0.070;0.013;0.744;0.023;0.002;0.126;0.022;
2464;0.073;0.013;0.755;0.026;0.002;0.111;0.021;
2547;0.057;0.016;0.630;0.040;0.002;0.225;0.030;
2609;0.059;0.013;0.760;0.034;0.002;0.097;0.034;
2654;0.080;0.020;0.602;0.075;0.006;0.139;0.078;
2735;0.088;0.012;0.788;0.028;0.002;0.057;0.025;
2798;0.092;0.013;0.768;0.030;0.003;0.069;0.026;
2849;0.062;0.008;0.858;0.018;0.001;0.032;0.020;
2950;0.063;0.005;0.893;0.013;0.001;0.012;0.013;
3013;0.053;0.005;0.903;0.011;0.001;0.012;0.014;
3062;0.041;0.004;0.924;0.008;0.001;0.013;0.010;
3151;0.068;0.007;0.880;0.015;0.002;0.019;0.010;
3209;0.091;0.006;0.850;0.024;0.002;0.014;0.013;
3252;0.056;0.004;0.912;0.010;0.001;0.011;0.006;
3333;0.078;0.006;0.875;0.018;0.002;0.016;0.006;
3400;0.041;0.006;0.899;0.014;0.001;0.025;0.015;
3442;0.038;0.006;0.893;0.016;0.001;0.028;0.018;
3529;0.073;0.010;0.833;0.029;0.002;0.036;0.017;
3604;0.050;0.009;0.843;0.025;0.002;0.053;0.019;
3651;0.047;0.007;0.870;0.019;0.001;0.042;0.013;
3747;0.041;0.012;0.769;0.014;0.001;0.150;0.013;
3805;0.052;0.013;0.678;0.016;0.001;0.221;0.018;
3850;0.066;0.016;0.770;0.015;0.002;0.123;0.008;
3930;0.056;0.012;0.810;0.014;0.001;0.096;0.011;
3988;0.052;0.012;0.815;0.020;0.001;0.089;0.011;
4043;0.055;0.013;0.791;0.016;0.001;0.111;0.013;
4136;0.113;0.016;0.787;0.041;0.004;0.029;0.009;
4198;0.130;0.016;0.774;0.049;0.005;0.014;0.011;
4252;0.145;0.016;0.734;0.059;0.006;0.015;0.025;
4332;0.222;0.030;0.543;0.128;0.012;0.026;0.039;
4390;0.212;0.033;0.520;0.129;0.014;0.048;0.044;
4436;0.161;0.013;0.731;0.055;0.005;0.017;0.019;
4524;0.252;0.022;0.552;0.104;0.010;0.030;0.030;
4587;0.177;0.019;0.697;0.068;0.008;0.015;0.016;
4634;0.218;0.026;0.585;0.103;0.012;0.025;0.031;
4725;0.179;0.023;0.659;0.082;0.010;0.019;0.028;
4789;0.157;0.022;0.677;0.085;0.009;0.022;0.029;
4833;0.148;0.023;0.636;0.114;0.008;0.040;0.031;
4929;0.155;0.022;0.691;0.067;0.008;0.036;0.021;
4989;0.161;0.020;0.682;0.066;0.007;0.043;0.022;
5032;0.146;0.016;0.699;0.060;0.006;0.043;0.031;
5120;0.133;0.015;0.673;0.066;0.006;0.060;0.047;
5182;0.632;0.019;0.174;0.117;0.004;0.031;0.023;
5230;0.774;0.023;0.101;0.078;0.002;0.015;0.007;
5316;0.568;0.020;0.100;0.299;0.002;0.005;0.005;
5379;0.528;0.029;0.106;0.305;0.006;0.022;0.005;
5422;0.315;0.052;0.274;0.142;0.016;0.180;0.022;
5518;0.311;0.069;0.313;0.210;0.015;0.064;0.018;
5591;0.252;0.049;0.506;0.137;0.012;0.027;0.017;
5635;0.181;0.037;0.619;0.115;0.010;0.017;0.020;
5724;0.180;0.057;0.442;0.271;0.010;0.016;0.024;
5781;0.160;0.037;0.260;0.503;0.009;0.010;0.021;
5828;0.148;0.028;0.267;0.509;0.009;0.010;0.028;
5920;0.179;0.032;0.284;0.435;0.012;0.013;0.045;
