Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
prod_cell1;;0;;1;1;1;1;0;;18;0.94;194.75;557.95;202.18;576.89;0.11;0.89;1.00;0.00;;4
prod_cell1_corrected;;0;;1;1;1;1;0;;18;1.00;204.09;648.17;213.16;666.47;0.11;0.89;0.94;0.06;;4
task2_prod_cell1;;0;;0;1;0;0;0;;5;1.00;110.17;52.48;120.66;53.00;0.80;0.20;1.00;0.00;;1
task2_prod_cell1_corrected;;0;;0;1;0;0;0;;5;1.00;130.58;52.66;134.53;53.53;0.40;0.60;1.00;0.00;;1
Cell1_22_Yokids_CherryBerryBase;;0;;0;1;0;0;0;;6;1.00;189.57;74.12;191.53;74.98;0.00;1.00;1.00;0.00;;2
Cell1_22_Yokids_CherryBerryBase_corrected;;0;;0;1;0;0;0;;6;1.00;173.15;72.07;173.31;72.09;0.00;1.00;1.00;0.00;;2
Cell1_21_Light_Fit_Strawberry;;0;;0;1;0;0;0;;3;1.00;53.61;19.77;54.66;22.31;0.00;1.00;1.00;0.00;;1
Cell1_21_Light_Fit_Strawberry_corrected;;0;;0;1;0;0;0;;3;1.00;32.25;13.20;35.29;13.47;0.00;1.00;1.00;0.00;;1
Cell1_12_YoBaby_Banana_Mango;;0;;0;1;0;0;0;;2;1.00;75.50;20.00;75.50;20.00;0.00;1.00;1.00;0.00;;1
Cell1_12_YoBaby_Banana_Mango_corrected;;0;;0;1;0;0;0;;2;1.00;71.00;7.50;71.00;7.52;0.00;1.00;1.00;0.00;;1
TargetC;;0;;0;1;0;0;0;;3;1.00;118.92;25.77;128.37;25.88;0.00;1.00;1.00;0.00;;1
TargetC_corrected;;0;;0;1;0;0;0;;3;1.00;122.65;23.16;128.50;27.23;0.00;1.00;1.00;0.00;;1
peapodB;;0;;0;1;0;0;0;;1;1.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;;2
peapodB_corrected;;0;;0;1;0;0;0;;1;1.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;;2
