Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;1;0;0;0;;21;1.00;151.79;136.06;152.03;138.47;1.00;0.00;0.19;0.81;;3
filler-1_corrected;;0;;1;0;1;1;1;;21;0.62;259.91;566.10;270.75;613.18;0.76;0.24;0.19;0.81;;3
filler-2;;1;;1;1;1;1;1;;81;0.78;454.21;188.53;457.62;191.18;0.64;0.36;0.65;0.35;;11
filler-2_corrected;;0;;1;0;1;1;1;;81;0.58;403.41;426.73;411.82;444.52;0.57;0.43;0.67;0.33;;11
FULL_BAY_Current_cell1;;1;;1;1;1;1;1;;45;0.80;156.98;270.48;158.18;274.52;0.53;0.47;0.49;0.51;;6
FULL_BAY_Current_cell1_corrected;;0;;1;0;1;1;1;;45;0.44;595.87;1341.02;655.96;1484.15;0.40;0.60;0.49;0.51;;6
XXX-translation-1;;0;;1;1;0;0;1;;15;1.00;75.43;74.24;78.82;75.25;0.60;0.40;0.20;0.80;;2
XXX-translation-1_corrected;;0;;1;1;0;0;1;;15;0.80;140.42;222.48;142.04;223.10;0.13;0.87;0.13;0.87;;2
3_SHELVES_Current_cell1;;1;;1;1;1;1;1;;102;0.95;296.05;170.67;301.32;175.77;0.40;0.60;0.14;0.86;;14
3_SHELVES_Current_cell1_corrected;;0;;1;0;1;1;1;;102;0.25;719.52;999.99;734.19;1008.53;0.25;0.75;0.14;0.86;;14
XXX-translation-2;;1;;1;1;1;1;1;;17;1.00;181.04;146.47;194.97;147.59;0.76;0.24;0.18;0.82;;2
XXX-translation-2_corrected;;0;;1;0;1;1;1;;17;0.41;423.03;608.93;464.81;617.40;0.47;0.53;0.18;0.82;;2
PRODUCT_SHOT_skinless_current_cell1;;1;;1;1;1;1;1;;37;1.00;168.04;133.88;169.78;134.66;0.54;0.46;0.11;0.89;;5
PRODUCT_SHOT_skinless_current_cell1_corrected;;0;;1;0;1;1;1;;37;0.46;400.67;720.33;439.22;756.41;0.30;0.70;0.11;0.89;;5
