Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;1;1;1;0;;472;0.69;269.12;213.20;272.83;213.83;0.71;0.29;0.96;0.04;;20
filler-1_corrected;;1;;1;1;1;1;1;;472;0.86;311.07;302.14;313.17;302.88;0.78;0.22;0.66;0.34;;20
filler-2;;0;;1;1;1;1;0;;169;0.73;244.06;259.33;247.29;262.97;0.67;0.33;0.95;0.05;;7
filler-2_corrected;;1;;1;1;1;1;1;;169;0.89;302.50;345.75;307.61;348.82;0.70;0.30;0.74;0.26;;7
FULL_BAY_IrishRecipe_cell4;;0;;1;1;0;0;0;;62;0.69;100.46;79.67;101.17;79.72;0.21;0.79;1.00;0.00;;3
FULL_BAY_IrishRecipe_cell4_corrected;;0;;1;1;1;1;0;;62;0.87;122.04;117.18;122.93;117.22;0.31;0.69;0.98;0.02;;3
XXX-translation-1;;0;;1;0;0;0;0;;42;0.21;34.77;129.00;34.77;129.01;0.21;0.79;1.00;0.00;;2
XXX-translation-1_corrected;;0;;1;0;0;0;0;;42;0.60;50.40;190.13;50.84;190.14;0.71;0.29;1.00;0.00;;2
3_SHELVES_IrishRecipe_cell4;;0;;1;0;1;1;0;;364;0.24;223.40;154.34;224.56;154.63;0.03;0.97;1.00;0.00;;15
3_SHELVES_IrishRecipe_cell4_corrected;;0;;1;0;1;1;0;;364;0.35;324.55;251.60;325.04;252.26;0.07;0.93;0.99;0.01;;15
XXX-translation-2;;0;;1;0;0;0;0;;43;0.00;124.36;154.23;133.90;156.77;0.00;1.00;1.00;0.00;;2
XXX-translation-2_corrected;;0;;1;0;1;1;0;;43;0.00;194.32;250.63;206.69;251.99;0.00;1.00;1.00;0.00;;2
PRODUCT_SHOT_skinless_IrishRecipe_cell4;;0;;1;0;1;1;0;;205;0.01;150.78;169.93;153.77;170.26;0.02;0.98;1.00;0.00;;10
PRODUCT_SHOT_skinless_IrishRecipe_cell4_corrected;;0;;1;0;1;1;0;;205;0.02;217.01;277.04;218.20;277.04;0.24;0.76;1.00;0.00;;10
