Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;1;0;0;0;;39;1.00;80.15;91.59;83.25;91.61;1.00;0.00;0.64;0.36;;6
filler-1_corrected;;0;;1;1;0;0;0;;39;1.00;60.08;79.68;61.87;79.92;1.00;0.00;0.72;0.28;;6
filler-2;;1;;1;1;1;1;1;;45;0.91;179.58;209.21;180.14;213.43;0.87;0.13;0.42;0.58;;7
filler-2_corrected;;0;;1;1;0;0;0;;45;0.91;128.57;250.85;130.18;260.25;1.00;0.00;0.47;0.53;;7
FULL_BAY_IrishRecipe_cell4;;1;;1;1;1;1;1;;80;0.89;122.93;161.78;122.98;162.07;0.29;0.71;0.81;0.19;;12
FULL_BAY_IrishRecipe_cell4_corrected;;0;;1;1;1;1;0;;80;0.98;121.23;136.68;121.88;138.10;0.91;0.09;0.83;0.18;;12
XXX-translation-1;;0;;1;1;0;0;1;;13;1.00;57.36;106.16;57.37;108.61;0.23;0.77;0.15;0.85;;2
XXX-translation-1_corrected;;0;;1;1;0;0;0;;13;1.00;60.36;122.77;60.39;123.95;1.00;0.00;0.15;0.85;;2
3_SHELVES_IrishRecipe_cell4;;1;;1;1;1;1;1;;27;1.00;256.19;201.96;265.49;204.57;0.52;0.48;0.63;0.37;;6
3_SHELVES_IrishRecipe_cell4_corrected;;1;;1;1;1;1;1;;27;0.96;193.22;185.81;194.47;185.85;0.81;0.19;0.70;0.30;;6
XXX-translation-2;;0;;1;1;0;0;0;;12;1.00;73.46;65.20;82.36;70.31;0.75;0.25;1.00;0.00;;3
XXX-translation-2_corrected;;0;;1;1;0;0;0;;12;1.00;55.33;45.02;62.43;47.81;1.00;0.00;1.00;0.00;;3
PRODUCT_SHOT_skinless_IrishRecipe_cell4;;1;;1;1;1;1;1;;59;0.97;134.38;134.89;136.17;137.62;0.34;0.66;0.71;0.29;;11
PRODUCT_SHOT_skinless_IrishRecipe_cell4_corrected;;1;;1;1;1;1;1;;59;0.97;260.86;273.69;266.21;279.80;0.81;0.19;0.73;0.27;;11
