Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
current_front;;0;;1;0;1;1;0;;59;0,15;220,21;318,84;222,97;329,83;1,00;0,00;0,05;0,95;;7
current_front_corrected;;0;;1;0;1;1;0;;59;0,00;124,73;486,20;129,83;502,59;1,00;0,00;0,39;0,61;;7
New_Back_2;;0;;1;0;1;1;0;;92;0,01;154,24;547,21;154,24;566,24;1,00;0,00;0,40;0,60;;7
New_Back_2_corrected;;0;;1;0;1;1;0;;92;0,00;297,37;1621,09;303,43;1661,65;0,98;0,02;0,65;0,35;;7
New_Back_3;;0;;1;0;1;1;0;;93;0,05;189,80;380,88;191,23;380,94;1,00;0,00;0,77;0,23;;7
New_Back_3_corrected;;0;;1;0;1;1;0;;93;0,00;101,87;496,50;102,74;499,40;1,00;0,00;0,91;0,09;;7
new_front;;0;;1;0;1;1;0;;84;0,14;150,67;410,15;150,67;410,33;1,00;0,00;0,54;0,46;;7
new_front_corrected;;0;;1;0;1;1;0;;84;0,00;120,57;545,25;123,65;549,24;1,00;0,00;0,70;0,30;;7
New_Back_1;;0;;1;0;0;0;0;;86;0,00;147,86;225,60;148,76;233,73;1,00;0,00;0,29;0,71;;7
New_Back_1_corrected;;0;;1;0;1;1;0;;86;0,00;90,73;300,31;91,03;314,56;1,00;0,00;0,73;0,27;;7
