85;-1162;666
245;358;380
400;510;351
550;662;335
710;1490;177
875;9817;-1338
1035;3868;-386
1188;587;296
1380;233;367
1554;256;372
1752;-630;586
1916;-715;595
2109;-291;502
2303;-1317;707
2492;-938;621
2675;664;298
2858;6533;-1111
3041;-1359;860
3291;-424;668
3513;-261;640
3798;-336;677
4020;1260;174
4091;-424;0
4256;754;359
4325;-424;0
4472;1375;308
4607;-424;0
4681;-424;0
4766;-424;0
4863;-424;0
4959;-424;0
5150;-260;608
5348;30;553
5537;20;569
5729;-4734;1369
5925;658;414
6189;513;427
6387;424;418
6591;378;404
6768;466;384
7015;681;344
