161;352;662
352;-248;884
510;1099;182
664;669;395
849;690;385
1049;929;337
1235;1485;184
1406;1173;157
1615;851;315
1790;859;379
1955;847;420
2149;843;433
2313;859;434
2474;1040;410
2781;1080;395
3130;1116;377
3367;1192;358
3596;1471;249
3882;2654;-354
4106;875;183
4365;576;206
4533;323;186
4698;147;179
4869;222;102
5024;489;137
5264;721;223
5422;848;294
5750;1107;294
5950;1509;218
6106;1830;84
6267;3064;-597
6431;6430;-3051
6593;10117;-12018
6762;914;-609
6928;1210;-1239
7180;25;731
7335;114;652
7494;-260;817
7700;1058;125
7931;1027;318
8106;1285;348
8269;1505;395
8516;1564;424
8690;1620;439
8858;1767;434
9136;1920;424
