Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1_NL;;0;;1;0;1;1;0;;113;0,12;280,40;316,52;285,91;325,61;0,96;0,04;0,93;0,07;;23
filler-1_NL_corrected;;0;;1;1;1;1;0;;113;0,96;1022,84;238,55;1025,03;239,11;0,97;0,03;0,94;0,06;;23
filler-2_NL;;1;;1;1;1;1;1;;39;0,95;408,45;169,59;421,24;170,68;0,31;0,69;0,69;0,31;;9
filler-2_NL_corrected;;1;;1;1;1;1;1;;39;0,79;2359,72;1027,79;2371,92;1027,81;0,62;0,38;0,87;0,13;;9
XXX-translation-1-nl;;0;;0;0;1;1;0;;6;0,50;308,14;204,28;320,78;204,28;0,50;0,50;1,00;0,00;;1
XXX-translation-1-nl_corrected;;0;;0;1;0;0;0;;6;1,00;99,62;27,54;102,67;29,78;0,83;0,17;1,00;0,00;;1
new_ver5;;1;;1;1;1;1;1;;18;0,72;383,55;174,27;386,63;174,27;0,44;0,56;0,56;0,44;;3
new_ver5_corrected;;1;;1;1;1;1;1;;18;0,83;297334,03;112800,55;305958,10;116079,39;0,78;0,22;0,56;0,44;;3
cell2_novi_bruine_prednja_strana_fin;;0;;1;0;1;1;1;;35;0,40;370,97;377,09;396,94;377,11;0,83;0,17;0,86;0,14;;7
cell2_novi_bruine_prednja_strana_fin_corrected;;0;;1;1;1;1;0;;35;0,69;268,26;141,61;284,66;144,71;0,94;0,06;0,86;0,14;;7
cell2_novi_bruine_zadnja_strana_fin;;0;;1;0;1;1;0;;34;0,03;211,68;607,71;228,52;621,74;1,00;0,00;0,88;0,12;;7
cell2_novi_bruine_zadnja_strana_fin_corrected;;0;;1;1;1;1;0;;34;0,68;367,88;199,67;376,05;221,16;0,97;0,03;0,97;0,03;;7
cell2_novi_blonde_prednja_strana_fin;;0;;1;0;1;1;0;;34;0,00;166,33;322,27;166,48;322,31;1,00;0,00;0,94;0,06;;7
cell2_novi_blonde_prednja_strana_fin_corrected;;0;;1;0;1;1;1;;34;0,32;800,80;179,29;800,87;179,52;0,88;0,12;0,85;0,15;;7
