Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;1;;1;1;1;1;1;;135;1,00;235,91;124,35;236,50;124,40;0,66;0,34;0,67;0,33;;11
filler-1_corrected;;1;;1;1;1;1;1;;135;1,00;243,33;143,82;243,82;145,10;0,67;0,33;0,77;0,23;;11
current_ver1;;1;;1;1;1;1;1;;34;1,00;145,02;103,00;149,63;106,79;0,32;0,68;0,65;0,35;;3
current_ver1_corrected;;1;;1;1;1;1;1;;34;1,00;145,81;118,62;148,88;125,74;0,32;0,68;0,71;0,29;;3
cell1_bruin_current_front;;0;;1;1;0;0;0;;82;0,98;113,76;61,60;114,84;61,79;0,33;0,67;1,00;0,00;;7
cell1_bruin_current_front_corrected;;0;;1;1;0;0;0;;82;0,99;101,50;55,13;102,11;55,49;0,29;0,71;1,00;0,00;;7
cell1_bruin_current_back;;1;;1;1;1;1;1;;79;0,91;265,64;170,20;267,90;171,26;0,39;0,61;0,42;0,58;;7
cell1_bruin_current_back_corrected;;1;;1;1;1;1;1;;79;0,84;296,23;238,75;299,44;241,92;0,41;0,59;0,46;0,54;;7
cell1_blonde_current_back;;0;;1;1;0;0;0;;81;0,98;65,77;134,23;65,85;134,39;0,00;1,00;0,67;0,33;;7
cell1_blonde_current_back_corrected;;0;;1;1;0;0;0;;81;1,00;58,33;154,34;58,38;157,65;0,00;1,00;0,79;0,21;;7
