68;-706;292
155;-1024;-404
233;-1322;-895
309;-1165;-866
417;-928;-281
495;-497;40
607;-327;420
691;130;382
765;253;405
862;224;374
939;156;460
1031;96;567
1129;100;583
1207;1;620
1313;13;656
1389;-160;760
1468;-282;841
1580;-483;894
1662;-436;914
1758;-383;888
1833;-460;876
1943;-547;825
2034;-608;788
2111;-558;820
2191;-545;780
2269;-518;875
2352;-531;828
2431;-511;823
2540;-342;480
2642;-112;379
2716;127;384
2788;202;494
2863;329;346
2944;350;239
3021;453;260
