74;-812;235
161;-480;-309
239;-423;-499
343;-326;-478
425;-479;-243
500;-274;-16
614;-389;386
697;220;302
770;344;322
870;321;288
945;221;398
1038;96;569
1136;92;596
1214;-79;687
1320;-91;761
1394;-560;1107
1474;-1084;1509
1586;-2120;2064
1668;-2032;2150
1764;-1636;1879
1838;-1898;1902
1948;-1968;1676
2042;-2009;1529
2117;-1983;1655
2197;-1726;1432
2277;-2155;1972
2358;-1922;1680
2437;-1812;1626
2546;-483;485
2648;-62;315
2723;215;304
2794;262;442
2868;430;253
2950;462;150
3027;547;168
