59;0.141;0.118;0.008;0.571;0.120;0.034;0.007;
177;0.022;0.013;0.003;0.915;0.038;0.009;0.001;
337;0.004;0.008;0.001;0.983;0.002;0.002;0.000;
496;0.021;0.009;0.002;0.961;0.004;0.002;0.001;
695;0.055;0.012;0.005;0.891;0.032;0.003;0.002;
830;0.161;0.020;0.007;0.763;0.038;0.007;0.003;
1011;0.047;0.020;0.004;0.912;0.013;0.003;0.002;
1170;0.088;0.026;0.006;0.866;0.010;0.002;0.003;
1298;0.019;0.008;0.002;0.962;0.006;0.002;0.001;
1477;0.153;0.040;0.008;0.783;0.009;0.004;0.003;
1632;0.085;0.027;0.006;0.864;0.011;0.004;0.002;
1795;0.007;0.003;0.003;0.986;0.000;0.000;0.000;
1949;0.064;0.018;0.007;0.906;0.001;0.002;0.001;
2095;0.026;0.007;0.005;0.960;0.000;0.001;0.001;
2270;0.042;0.034;0.007;0.911;0.002;0.003;0.002;
2429;0.036;0.020;0.005;0.936;0.002;0.001;0.001;
2602;0.062;0.009;0.007;0.917;0.002;0.001;0.001;
2770;0.078;0.011;0.006;0.897;0.005;0.003;0.001;
2894;0.181;0.029;0.010;0.768;0.005;0.003;0.003;
3070;0.529;0.052;0.015;0.335;0.053;0.008;0.008;
3226;0.656;0.060;0.028;0.237;0.005;0.004;0.008;
3390;0.839;0.007;0.090;0.002;0.001;0.008;0.052;
3538;0.889;0.010;0.056;0.007;0.001;0.011;0.026;
3695;0.906;0.009;0.047;0.010;0.001;0.006;0.021;
3868;0.888;0.014;0.044;0.013;0.001;0.007;0.034;
4019;0.872;0.020;0.037;0.049;0.001;0.005;0.016;
4205;0.872;0.015;0.039;0.035;0.001;0.006;0.032;
4355;0.877;0.026;0.024;0.021;0.001;0.008;0.042;
4497;0.844;0.033;0.021;0.084;0.003;0.003;0.012;
4671;0.829;0.028;0.026;0.107;0.002;0.002;0.006;
4815;0.825;0.018;0.030;0.109;0.002;0.002;0.015;
5026;0.785;0.022;0.035;0.116;0.001;0.005;0.036;
5160;0.850;0.032;0.036;0.062;0.001;0.005;0.015;
5307;0.834;0.030;0.037;0.065;0.001;0.008;0.025;
5483;0.831;0.040;0.018;0.087;0.002;0.004;0.018;
5617;0.702;0.058;0.018;0.197;0.003;0.006;0.016;
5774;0.129;0.084;0.007;0.759;0.010;0.004;0.006;
5956;0.057;0.043;0.005;0.874;0.003;0.014;0.003;
6113;0.023;0.063;0.003;0.892;0.008;0.009;0.002;
