Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;1;0;0;0;;20;1.00;115.55;148.35;116.92;153.37;0.10;0.90;0.25;0.75;;3
filler-1_corrected;;0;;1;1;0;0;0;;20;1.00;117.80;88.46;118.33;88.53;1.00;0.00;1.00;0.00;;3
filler-2;;1;;1;1;1;1;1;;19;0.89;358.56;115.23;358.75;115.27;0.21;0.79;0.79;0.21;;3
filler-2_corrected;;0;;1;1;0;0;0;;19;1.00;102.80;50.50;103.09;50.62;1.00;0.00;1.00;0.00;;3
1.reference-lSRP-Right-shelf;;0;;1;1;1;1;0;;31;0.87;290.02;192.30;324.42;195.95;0.00;1.00;0.65;0.35;;4
1.reference-lSRP-Right-shelf_corrected;;0;;1;1;0;0;0;;31;1.00;161.47;42.10;165.36;42.16;0.87;0.13;1.00;0.00;;4
translation-far;;0;;0;0;0;0;0;;7;0.29;234.47;59.09;236.15;64.33;0.00;1.00;0.57;0.43;;2
translation-far_corrected;;0;;0;1;0;0;0;;7;1.00;93.32;25.41;96.96;25.74;0.43;0.57;1.00;0.00;;2
1.Shabam-Marketing-reference;;0;;1;0;1;1;0;;195;0.64;394.74;207.18;406.31;212.61;0.01;0.99;0.71;0.29;;34
1.Shabam-Marketing-reference_corrected;;0;;1;1;0;0;0;;195;0.98;133.81;58.46;133.81;58.94;0.88;0.12;1.00;0.00;;34
translation-individual;;0;;0;1;0;0;0;;5;1.00;190.15;55.20;203.46;61.27;0.00;1.00;0.60;0.40;;1
translation-individual_corrected;;0;;0;1;0;0;0;;5;1.00;85.97;19.31;86.08;20.54;1.00;0.00;1.00;0.00;;1
1.lSRP-pepper-individual;;0;;1;1;1;1;0;;63;0.87;226.86;98.44;233.49;99.10;0.00;1.00;0.70;0.30;;11
1.lSRP-pepper-individual_corrected;;0;;1;1;0;0;0;;63;1.00;83.81;38.40;83.85;38.84;0.94;0.06;1.00;0.00;;11
1-Shabam-reference-individual;;0;;1;1;1;1;0;;54;0.89;210.20;121.54;220.72;122.39;0.00;1.00;0.76;0.24;;10
1-Shabam-reference-individual_corrected;;0;;1;1;0;0;0;;54;1.00;112.34;25.50;112.81;25.59;0.93;0.07;1.00;0.00;;10
