7;754;924
177;1009;879
342;1264;899
493;709;884
635;209;790
777;-285;651
918;-249;548
1059;-163;507
1232;-28;466
1375;134;422
1531;179;405
1678;125;439
1824;184;491
1966;188;491
2110;234;477
2252;144;468
2461;151;455
2613;364;414
2798;490;354
2956;625;350
3109;757;342
3250;816;388
3392;855;383
3537;710;391
3678;715;394
3819;719;400
4000;739;396
4139;719;385
4313;807;412
4454;913;412
4601;1073;446
4747;1120;486
4893;925;516
5037;925;556
5180;991;570
5328;984;574
5476;1015;578
5654;987;580
5908;1226;632
6081;1038;595
6253;615;577
6416;191;574
6565;-56;628
6711;143;719
6855;360;797
