Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;0;1;1;0;;21;0.57;237.83;366.47;237.91;385.31;0.81;0.19;1.00;0.00;;3
filler-1_corrected;;0;;1;0;1;1;0;;21;0.52;19688.49;8683.02;20206.52;8906.11;0.90;0.10;0.29;0.71;;3
filler-2;;0;;1;0;1;1;0;;56;0.11;266.44;272.91;267.89;273.02;0.73;0.27;0.95;0.05;;8
filler-2_corrected;;0;;1;0;1;1;0;;56;0.13;17715.90;7193.35;18088.95;7330.52;0.95;0.05;0.14;0.86;;8
1.reference-lSRP-Right-shelf;;0;;1;0;1;1;0;;45;0.18;547.13;373.23;569.15;378.23;0.56;0.44;1.00;0.00;;7
1.reference-lSRP-Right-shelf_corrected;;0;;1;0;1;1;1;;45;0.33;23138.18;6910.27;23185.48;6933.93;0.60;0.40;0.40;0.60;;7
translation-far;;0;;0;1;1;1;0;;9;0.78;277.34;119.20;301.23;129.78;0.44;0.56;1.00;0.00;;1
translation-far_corrected;;0;;0;0;1;1;1;;9;0.56;6049.34;2248.43;6236.30;2355.64;0.67;0.33;0.78;0.22;;1
1.Shabam-Marketing-reference;;0;;1;0;1;1;1;;18;0.50;326.37;309.02;337.40;318.99;0.67;0.33;0.78;0.22;;3
1.Shabam-Marketing-reference_corrected;;0;;1;0;1;1;1;;18;0.61;2901.91;1090.43;2905.58;1093.49;0.44;0.56;0.56;0.44;;3
translation-individual;;0;;0;1;0;0;0;;6;0.83;135.18;211.55;135.58;224.95;1.00;0.00;0.83;0.17;;1
translation-individual_corrected;;0;;0;1;1;1;1;;6;0.83;948.19;401.41;1036.71;438.77;0.33;0.67;0.67;0.33;;1
1.lSRP-pepper-individual;;1;;1;1;1;1;1;;19;0.95;233.09;162.68;251.79;166.83;0.89;0.11;0.79;0.21;;3
1.lSRP-pepper-individual_corrected;;1;;1;1;1;1;1;;19;0.95;1347.29;2939.91;1372.38;3013.77;0.58;0.42;0.74;0.26;;3
1-Shabam-reference-individual;;1;;1;1;1;1;1;;15;1.00;259.25;124.88;263.80;128.13;0.67;0.33;0.47;0.53;;3
1-Shabam-reference-individual_corrected;;1;;1;1;1;1;1;;15;0.87;699.16;447.29;706.46;465.23;0.47;0.53;0.73;0.27;;3
