Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;1;0;0;1;;63;1.00;242.71;66.51;252.13;67.27;0.46;0.54;0.29;0.71;;8
filler-1_corrected;;1;;1;1;1;1;1;;63;0.90;325.37;213.89;326.06;213.97;0.87;0.13;0.68;0.32;;8
filler-2;;1;;1;1;1;1;1;;64;1.00;230.03;89.58;235.87;90.66;0.19;0.81;0.34;0.66;;8
filler-2_corrected;;0;;1;1;1;1;0;;64;0.98;1817.96;293.61;1825.76;295.97;0.80;0.20;0.97;0.03;;8
1.reference-lSRP-Right-shelf;;1;;1;1;1;1;1;;70;0.96;293.88;140.13;301.24;140.22;0.14;0.86;0.34;0.66;;9
1.reference-lSRP-Right-shelf_corrected;;0;;1;1;0;0;0;;70;0.96;201.32;77.64;201.56;78.36;0.83;0.17;1.00;0.00;;9
translation-far;;0;;1;1;0;0;0;;15;1.00;114.55;46.75;117.50;47.18;0.00;1.00;0.67;0.33;;2
translation-far_corrected;;0;;1;1;0;0;0;;15;1.00;84.45;26.17;84.47;27.23;0.80;0.20;1.00;0.00;;2
1.Shabam-Marketing-reference;;0;;1;1;0;0;0;;131;1.00;208.48;82.44;213.24;83.89;0.04;0.96;0.44;0.56;;18
1.Shabam-Marketing-reference_corrected;;0;;1;1;1;1;0;;131;0.95;553.36;111.61;562.75;112.93;0.73;0.27;0.95;0.05;;18
