Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;1;;1;1;1;1;1;;158;0.99;191.94;126.45;191.96;127.61;0.59;0.41;0.56;0.44;;13
filler-1_corrected;;0;;1;0;1;1;0;;158;0.45;1879.60;279.03;1881.54;279.06;0.06;0.94;0.13;0.87;;13
filler-2;;1;;1;1;1;1;1;;215;1.00;288.90;143.45;309.07;154.36;0.56;0.44;0.71;0.29;;17
filler-2_corrected;;0;;1;0;1;1;0;;215;0.45;8989.77;1445.50;9023.40;1445.52;0.04;0.96;0.08;0.92;;17
1.reference-lSRP-Right-shelf;;1;;1;1;1;1;1;;128;0.99;293.52;134.80;304.23;135.71;0.38;0.63;0.42;0.58;;10
1.reference-lSRP-Right-shelf_corrected;;0;;1;0;1;1;0;;128;0.63;1457.09;241.58;1477.37;246.91;0.04;0.96;0.22;0.78;;10
translation-far;;1;;1;1;1;1;1;;68;1.00;199.39;143.92;200.77;144.08;0.60;0.40;0.62;0.38;;5
translation-far_corrected;;0;;1;0;1;1;1;;68;0.53;2077.28;306.24;2103.80;308.79;0.22;0.78;0.38;0.62;;5
1.Shabam-Marketing-reference;;1;;1;1;1;1;1;;344;1.00;306.96;121.08;307.41;123.38;0.33;0.67;0.88;0.12;;29
1.Shabam-Marketing-reference_corrected;;0;;1;1;1;1;0;;344;0.70;2927.05;518.26;2927.91;518.48;0.07;0.93;0.08;0.92;;29
1.lSRP-pepper-individual;;1;;1;1;1;1;1;;272;0.99;192.52;194.92;192.65;202.43;0.49;0.51;0.58;0.42;;23
1.lSRP-pepper-individual_corrected;;0;;1;0;1;1;1;;272;0.58;11318.07;1506.09;11329.52;1508.96;0.12;0.88;0.29;0.71;;23
1-Shabam-reference-individual;;1;;1;1;1;1;1;;155;1.00;188.35;215.99;189.49;226.15;0.57;0.43;0.61;0.39;;13
1-Shabam-reference-individual_corrected;;0;;1;0;1;1;1;;155;0.65;1039.47;194.20;1051.63;195.28;0.15;0.85;0.24;0.76;;13
translation-individual;;0;;1;1;0;0;0;;70;1.00;126.78;93.34;127.62;93.34;0.96;0.04;0.21;0.79;;5
translation-individual_corrected;;1;;1;1;1;1;1;;70;0.81;3346.05;370.13;3356.12;372.03;0.59;0.41;0.87;0.13;;5
