29;546;328
174;570;326
335;591;340
494;585;354
655;576;378
827;645;374
1003;646;369
1166;620;374
1343;580;399
1479;564;395
1641;531;385
1793;272;315
1959;58;225
2115;-37;137
2278;109;114
2432;240;115
2611;320;135
2755;369;151
2915;445;181
3070;570;186
3229;554;188
3391;409;175
3550;216;152
3709;135;155
3872;154;184
4027;74;230
4209;-19;262
4346;-26;303
4507;58;290
4666;54;261
4829;24;205
4987;-55;187
5146;-119;180
5307;-104;159
5466;46;138
5626;273;140
5798;343;183
5946;410;230
6107;693;204
6266;1001;100
6427;1201;-18
6587;1065;-99
6745;803;-141
6906;475;-137
